method,seed,step,mean_return,std_return,min_return,max_return,n_eval_episodes,J0,improvement,norm_improvement,J_ref
base,2,106496,1989.4903951005704,1055.616308969873,578.3135781749695,3777.061192033033,10,2887.2530918487705,-897.7626967482001,-0.11557026487654826,10655.36453116767
base,2,131072,3093.5800923026973,1210.1042233161095,1214.4661569277605,4476.407838587909,10,2887.2530918487705,206.32700045392676,0.02656076731636802,10655.36453116767
base,2,155648,2034.3437293213028,1175.0712598066548,558.7733269114233,4403.4478373648435,10,2887.2530918487705,-852.9093625274677,-0.10979623156544902,10655.36453116767
base,2,180224,3258.439948748467,1662.7142232023,614.4145873535914,6941.344304707533,10,2887.2530918487705,371.1868568996965,0.04778341038892953,10655.36453116767
base,2,204800,2316.6941607905283,1242.4937316482533,597.4840273387637,3972.5493223796716,10,2887.2530918487705,-570.5589310582423,-0.07344886018200833,10655.36453116767
base,2,229376,3017.3678939695797,809.6644211337132,1977.5550172727155,4271.290597539083,10,2887.2530918487705,130.11480212080914,0.016749862964822195,10655.36453116767
base,2,253952,2639.0718484540885,1498.7520480659246,869.7517169873207,4552.062238310153,10,2887.2530918487705,-248.18124339468204,-0.03194872335462963,10655.36453116767
base,2,278528,1916.0314918594408,1223.810493651618,629.35694993224,4043.9093906876474,10,2887.2530918487705,-971.2215999893297,-0.12502673364704697,10655.36453116767
base,2,303104,2895.813635870828,1544.591430769686,972.9073751324125,5213.564879787516,10,2887.2530918487705,8.560544022057456,0.0011020109698253793,10655.36453116767
base,2,327680,3020.2782265222627,1365.227846111735,627.8120817196517,5035.205929609739,10,2887.2530918487705,133.02513467349218,0.0171245142008456,10655.36453116767
base,2,352256,3031.754205888615,1281.73614963406,752.5077369480888,5269.295400509423,10,2887.2530918487705,144.50111403984465,0.018601833296293765,10655.36453116767
base,2,376832,2710.350192198469,899.9606842217601,699.6227254641732,3868.5569903692253,10,2887.2530918487705,-176.9028996503016,-0.022772961099929753,10655.36453116767
base,2,401408,2622.5815144338726,1440.1424649591477,807.0321944833527,5383.498961240527,10,2887.2530918487705,-264.6715774148979,-0.03407154743444727,10655.36453116767
base,2,425984,2556.1809884784916,1184.6086158546732,863.353429704261,4276.800573234326,10,2887.2530918487705,-331.0721033702789,-0.04261938128898516,10655.36453116767
base,2,450560,3692.8516890632754,999.7614038192017,2378.2739416402324,5818.359666608751,10,2887.2530918487705,805.5985972145049,0.10370584966549258,10655.36453116767
base,2,475136,3318.9634751690646,1792.9487017873946,969.3437802972348,7115.908775432751,10,2887.2530918487705,431.7103833202941,0.05557468976044599,10655.36453116767
