method,seed,step,mean_return,std_return,min_return,max_return,n_eval_episodes,J0,improvement,norm_improvement,J_ref
base,2,475136,5680.058266627709,3860.8827094221465,1373.959477360552,11097.63617040764,10,3096.9485527866955,2583.109713841013,0.30793335241146963,11485.483582540317
base,2,499712,5926.971761018943,4088.784560071087,-224.38392324272252,11421.601989465145,10,3096.9485527866955,2830.0232082322473,0.3373679906988479,11485.483582540317
snp,0,0,2826.1042922607826,3740.076267233673,-681.4610094024143,9623.057222729243,10,2826.1042922607826,0.0,0.0,11485.483582540317
snp,0,32768,1126.1426696913593,2232.688295427908,-680.6279371829557,5690.380027658494,10,2826.1042922607826,-1699.9616225694233,-0.19631448922457723,11485.483582540317
snp,0,57344,1949.6956562196574,3766.994499953288,-681.2670356035285,11192.908187012661,10,2826.1042922607826,-876.4086360411252,-0.10120917522618698,11485.483582540317
snp,0,81920,3832.756733232401,4291.357598620715,-672.402989552712,10589.813640253271,10,2826.1042922607826,1006.6524409716185,0.1162499536179657,11485.483582540317
snp,0,106496,3645.055228023141,2700.7767316992363,-558.8178243593858,7318.156999099125,10,2826.1042922607826,818.9509357623583,0.09457386126821889,11485.483582540317
snp,0,131072,396.76504711174783,1224.169764630434,-658.0094261073723,2125.3920817362527,10,2826.1042922607826,-2429.339245149035,-0.28054427037230156,11485.483582540317
snp,0,155648,1799.2911732739653,1882.8186755122679,-653.4253560444766,4403.953271968139,10,2826.1042922607826,-1026.8131189868172,-0.11857814335732746,11485.483582540317
snp,0,180224,2381.723145803325,2820.5553644830666,-652.8356073802805,6482.177782888604,10,2826.1042922607826,-444.38114645745736,-0.05131789837465294,11485.483582540317
snp,0,204800,2358.8672869081192,2931.211709003435,-658.8742090760256,10081.23136545566,10,2826.1042922607826,-467.23700535266335,-0.053957332233177085,11485.483582540317
snp,0,229376,3434.3139564961007,3372.942300123058,-429.91584261722164,9789.385676034022,10,2826.1042922607826,608.2096642353181,0.07023709711478031,11485.483582540317
snp,0,253952,2259.1759640872433,4560.145639992855,-637.5673565578362,10890.721803866665,10,2826.1042922607826,-566.9283281735393,-0.06546985749249568,11485.483582540317
snp,0,278528,3654.380762145748,3637.6255047411396,-641.4108642233828,10646.396336441052,10,2826.1042922607826,828.2764698849655,0.0956507899727969,11485.483582540317
snp,0,303104,3599.326336125099,3567.0539078532333,-516.5695483001978,10512.280252273382,10,2826.1042922607826,773.2220438643162,0.08929301025571115,11485.483582540317
snp,0,327680,4155.723195010978,2860.3786759603922,-545.5370666880467,8059.138361017649,10,2826.1042922607826,1329.6189027501955,0.15354667557860574,11485.483582540317
snp,0,352256,2850.5252813314464,3482.001344526328,-600.3720057988137,10732.595694754747,10,2826.1042922607826,24.420989070663836,0.0028201777805549064,11485.483582540317
snp,0,376832,3401.520243069311,3406.3392358491888,-664.1251319795119,10968.256797725528,10,2826.1042922607826,575.4159508085286,0.06645002273869718,11485.483582540317
snp,0,401408,1713.4137966711176,3717.0706518927823,-675.0677283792826,10995.02935185857,10,2826.1042922607826,-1112.690495589665,-0.12849541037083395,11485.483582540317
snp,0,425984,1450.1896175755621,3553.2217832927627,-670.1181163895669,10930.076283661045,10,2826.1042922607826,-1375.9146746852205,-0.1588929908718563,11485.483582540317
snp,0,450560,2912.139243818835,3684.536546114063,-670.2559826605855,11077.110562572325,10,2826.1042922607826,86.0349515580524,0.009935464040095146,11485.483582540317
snp,0,475136,6363.3428001907905,4300.558187969469,-673.2485649148721,11120.610647879294,10,2826.1042922607826,3537.238507930008,0.408486380945595,11485.483582540317
snp,0,499712,4602.4909249445745,3920.087496280863,-658.2554071993864,10816.602064868563,10,2826.1042922607826,1776.386632683792,0.20514018071395831,11485.483582540317
snp,1,0,4810.997107223799,2922.110906882123,1461.145582756671,11118.47196062069,10,4810.997107223799,0.0,0.0,11485.483582540317
snp,1,32768,6926.005340850842,3980.782377233851,2026.3346090890088,11304.465880917103,10,4810.997107223799,2115.0082336270434,0.3168795443862017,11485.483582540317
snp,1,57344,5796.83682431217,3509.1868734184063,1435.5294467819729,10781.912263761616,10,4810.997107223799,985.8397170883718,0.14770270650580927,11485.483582540317
snp,1,81920,6035.167415210665,4336.07185643675,-351.4130651101357,11098.714605714431,10,4810.997107223799,1224.1703079868666,0.18341041102273017,11485.483582540317
snp,1,106496,5233.925298872841,2652.0927086923684,1679.570817700028,8823.128231508832,10,4810.997107223799,422.9281916490427,0.06336490352474969,11485.483582540317
snp,1,131072,5301.472967756439,3266.7159627570513,-388.4878954315164,10386.959002537245,10,4810.997107223799,490.4758605326406,0.07348518305835595,11485.483582540317
snp,1,155648,7325.320923498688,3672.531042533936,319.9548854003192,10909.045568495489,10,4810.997107223799,2514.3238162748894,0.3767067062307513,11485.483582540317
snp,1,180224,5574.006744459433,3533.377773240256,-275.3044191761254,10518.479390402239,10,4810.997107223799,763.0096372356347,0.11431735459245707,11485.483582540317
snp,1,204800,6211.339656768226,4440.655675189512,-428.9096771121466,10930.355989008209,10,4810.997107223799,1400.3425495444271,0.2098052868206935,11485.483582540317
snp,1,229376,5369.537491776329,3278.935935073829,-325.13050771441254,10447.205567516115,10,4810.997107223799,558.5403845525307,0.08368290003050168,11485.483582540317
snp,1,253952,3205.17814100082,4092.8931559937155,-521.5980617877881,10590.749055714885,10,4810.997107223799,-1605.8189662229788,-0.24059063898338887,11485.483582540317
snp,1,278528,6472.080925679397,4055.5406107664307,-454.4171491432688,11074.28277686283,10,4810.997107223799,1661.0838184555987,0.24887065459638313,11485.483582540317
snp,1,303104,6768.4571383013445,3855.0366068393423,-469.7276748059223,10936.013410503612,10,4810.997107223799,1957.4600310775459,0.29327500145866187,11485.483582540317
snp,1,327680,7882.672229357052,3597.0520483149426,1186.854843530571,11009.43758425744,10,4810.997107223799,3071.6751221332534,0.46021145342531783,11485.483582540317
snp,1,352256,4609.557932602815,4189.29330235505,-467.21753816695946,10935.237566199348,10,4810.997107223799,-201.43917462098398,-0.030180475357282195,11485.483582540317
snp,1,376832,8185.66401227348,3322.2892542301956,-447.2376766805018,10973.500561106754,10,4810.997107223799,3374.666905049681,0.5056069732142262,11485.483582540317
snp,1,401408,5379.593822609281,4025.395536941126,-434.7363106243278,10947.818857327908,10,4810.997107223799,568.5967153854826,0.08518958236009144,11485.483582540317
snp,1,425984,6409.54178584308,3407.5333201461644,-457.5719208423383,10764.715574624619,10,4810.997107223799,1598.5446786192815,0.23950077422307972,11485.483582540317
snp,1,450560,6746.497279632378,3944.630052485051,-382.1794804453968,10838.08894934836,10,4810.997107223799,1935.5001724085796,0.28998488187464777,11485.483582540317
snp,1,475136,7292.686818760958,3047.0339112125635,1760.060737815881,10797.260628971633,10,4810.997107223799,2481.6897115371594,0.3718173256239395,11485.483582540317
snp,1,499712,5895.539201547037,3690.59882170565,-392.05143151340974,10768.211269671709,10,4810.997107223799,1084.5420943232384,0.16249071717675723,11485.483582540317
snp,2,0,5226.905456413774,3690.4522685409697,-599.7881376026157,11011.72661118798,10,5226.905456413774,0.0,0.0,11485.483582540317
snp,2,32768,1668.8474956283983,2743.359180621622,-593.7714836857665,7962.993452424721,10,5226.905456413774,-3558.057960785376,-0.5685089949366762,11485.483582540317
snp,2,57344,6291.345568389294,4115.402358090195,-588.7636490490978,10548.10061242395,10,5226.905456413774,1064.4401119755203,0.17007698719329228,11485.483582540317
snp,2,81920,5305.3644987254565,3967.7489471070244,-581.1776564645558,10029.028999312675,10,5226.905456413774,78.45904231168242,0.01253624077513989,11485.483582540317
snp,2,106496,3096.736539953593,3313.615152544589,-575.045479136145,10051.28554712361,10,5226.905456413774,-2130.168916460181,-0.3403598825789829,11485.483582540317
snp,2,131072,5131.087102119653,3542.631125886806,-575.5302467062226,10429.144550922856,10,5226.905456413774,-95.81835429412149,-0.015309923811419112,11485.483582540317
snp,2,155648,4630.153058465459,3442.5784204509328,-563.9526527175373,9243.00268456478,10,5226.905456413774,-596.7523979483149,-0.09534951642799058,11485.483582540317
snp,2,180224,4825.916697737084,3888.7408567669404,-576.1395239043826,10834.022504837232,10,5226.905456413774,-400.98875867668994,-0.0640702649278572,11485.483582540317
snp,2,204800,6061.803425989335,3239.626149455946,-572.6523774908301,9812.351472629429,10,5226.905456413774,834.8979695755606,0.13340058278682565,11485.483582540317
snp,2,229376,3359.241194926025,3268.129390606431,-575.3928271202423,9453.58577777919,10,5226.905456413774,-1867.6642614877492,-0.29841670480915394,11485.483582540317
snp,2,253952,6384.282189624302,2727.9547796482375,2543.2724326969646,10800.384142457833,10,5226.905456413774,1157.376733210528,0.18492646567662266,11485.483582540317
snp,2,278528,7554.002648390271,3133.906094826051,-562.9261794072638,10526.121782508748,10,5226.905456413774,2327.097191976497,0.37182522047462574,11485.483582540317
