method,seed,step,eval_episode,return,J0,improvement,norm_improvement,J_ref
base,0,204800,9,2582.1743564894027,5375.566694215493,-2793.3923377260903,-0.4577166750300565,11478.45192793555
base,0,229376,0,-273.1743188984625,5375.566694215493,-5648.741013113956,-0.9255853249504973,11478.45192793555
base,0,229376,1,3295.7498578407267,5375.566694215493,-2079.8168363747664,-0.3407923885808036,11478.45192793555
base,0,229376,2,8486.937857644847,5375.566694215493,3111.371163429354,0.5098197071982257,11478.45192793555
base,0,229376,3,2826.6409276600584,5375.566694215493,-2548.9257665554346,-0.41765913474077565,11478.45192793555
base,0,229376,4,9354.84935155306,5375.566694215493,3979.282657337568,0.6520330145975782,11478.45192793555
base,0,229376,5,-272.7715856296768,5375.566694215493,-5648.338279845169,-0.9255193343160191,11478.45192793555
base,0,229376,6,9590.877463311088,5375.566694215493,4215.310769095595,0.6907078548870915,11478.45192793555
base,0,229376,7,1452.4154012798979,5375.566694215493,-3923.151292935595,-0.6428355019059362,11478.45192793555
base,0,229376,8,2694.9287717913885,5375.566694215493,-2680.6379224241045,-0.43924108340979917,11478.45192793555
base,0,229376,9,124.93502962239018,5375.566694215493,-5250.631664593103,-0.8603523518223184,11478.45192793555
base,0,253952,0,940.5825232381195,5375.566694215493,-4434.984170977374,-0.7267028627289611,11478.45192793555
base,0,253952,1,879.6555151592911,5375.566694215493,-4495.911179056202,-0.7366861748404535,11478.45192793555
base,0,253952,2,4768.5965271309815,5375.566694215493,-606.9701670845116,-0.09945626433074382,11478.45192793555
base,0,253952,3,-109.57990961263978,5375.566694215493,-5485.146603828133,-0.8987792483172494,11478.45192793555
base,0,253952,4,8945.117050759967,5375.566694215493,3569.550356544474,0.5848955402662445,11478.45192793555
base,0,253952,5,256.88417444400375,5375.566694215493,-5118.68251977149,-0.8387315708725246,11478.45192793555
base,0,253952,6,9460.166620669133,5375.566694215493,4084.5999264536404,0.6692899783230158,11478.45192793555
base,0,253952,7,3182.4398248331636,5375.566694215493,-2193.1268693823295,-0.35935902200902675,11478.45192793555
base,0,253952,8,-270.99275205898334,5375.566694215493,-5646.559446274477,-0.9252278601194255,11478.45192793555
base,0,253952,9,1726.7212933858568,5375.566694215493,-3648.845400829636,-0.5978885822841482,11478.45192793555
base,0,278528,0,6717.888705797801,5375.566694215493,1342.3220115823078,0.219948755376502,11478.45192793555
base,0,278528,1,-317.7758443087375,5375.566694215493,-5693.342538524231,-0.9328935936946858,11478.45192793555
base,0,278528,2,10214.747186198489,5375.566694215493,4839.180491982996,0.792933228442886,11478.45192793555
base,0,278528,3,9805.34462836365,5375.566694215493,4429.777934148156,0.7258497847782899,11478.45192793555
base,0,278528,4,-267.6623072491122,5375.566694215493,-5643.229001464605,-0.9246821436784667,11478.45192793555
base,0,278528,5,8470.946608172182,5375.566694215493,3095.379913956689,0.5071994302541847,11478.45192793555
base,0,278528,6,1575.091547264322,5375.566694215493,-3800.475146951171,-0.6227341660186898,11478.45192793555
base,0,278528,7,9985.276483234415,5375.566694215493,4609.709789018922,0.7553328649855189,11478.45192793555
base,0,278528,8,9941.173691272317,5375.566694215493,4565.606997056824,0.748106317169874,11478.45192793555
base,0,278528,9,10158.18862314644,5375.566694215493,4782.6219289309465,0.7836657162946515,11478.45192793555
base,0,303104,0,5073.109097936806,5375.566694215493,-302.45759627868665,-0.04955977126326554,11478.45192793555
base,0,303104,1,-320.44393923748277,5375.566694215493,-5696.0106334529755,-0.9333307795217379,11478.45192793555
base,0,303104,2,10555.622599532751,5375.566694215493,5180.055905317258,0.84878802502254,11478.45192793555
base,0,303104,3,2223.524787240352,5375.566694215493,-3152.041906975141,-0.516483890118528,11478.45192793555
base,0,303104,4,10345.226366411862,5375.566694215493,4969.659672196369,0.8143131455140873,11478.45192793555
base,0,303104,5,4692.141881157095,5375.566694215493,-683.4248130583983,-0.11198388741939817,11478.45192793555
base,0,303104,6,10066.032433914015,5375.566694215493,4690.465739698522,0.7685652866309678,11478.45192793555
base,0,303104,7,-256.16373531551403,5375.566694215493,-5631.730429531007,-0.9227980230549653,11478.45192793555
base,0,303104,8,10587.321759141672,5375.566694215493,5211.755064926179,0.8539821517986067,11478.45192793555
base,0,303104,9,779.3056975282398,5375.566694215493,-4596.260996687253,-0.7531291872471343,11478.45192793555
base,0,327680,0,-285.05504709715444,5375.566694215493,-5660.621741312648,-0.9275320645239536,11478.45192793555
base,0,327680,1,10178.506974167885,5375.566694215493,4802.940279952392,0.7869950187868322,11478.45192793555
base,0,327680,2,9432.903735670645,5375.566694215493,4057.337041455152,0.6648227658571174,11478.45192793555
base,0,327680,3,10178.410897157737,5375.566694215493,4802.844202942244,0.786979275903515,11478.45192793555
base,0,327680,4,10284.181821509785,5375.566694215493,4908.615127294292,0.8043105741803209,11478.45192793555
base,0,327680,5,-237.940121386069,5375.566694215493,-5613.506815601562,-0.9198119577385526,11478.45192793555
base,0,327680,6,10329.065201457737,5375.566694215493,4953.498507242244,0.8116650267419725,11478.45192793555
base,0,327680,7,-222.12242146385404,5375.566694215493,-5597.689115679347,-0.9172201180899506,11478.45192793555
base,0,327680,8,9891.492087995062,5375.566694215493,4515.925393779569,0.7399656424944582,11478.45192793555
base,0,327680,9,10055.455563266632,5375.566694215493,4679.888869051139,0.7668321931447575,11478.45192793555
base,0,352256,0,9761.043092238287,5375.566694215493,4385.4763980227945,0.7185906713554574,11478.45192793555
base,0,352256,1,-311.8840664428458,5375.566694215493,-5687.450760658339,-0.9319281850987037,11478.45192793555
base,0,352256,2,10376.831311706013,5375.566694215493,5001.26461749052,0.8194918346223712,11478.45192793555
base,0,352256,3,10211.605716532365,5375.566694215493,4836.039022316872,0.7924184768876297,11478.45192793555
base,0,352256,4,7992.0636496194875,5375.566694215493,2616.4969554039944,0.4287311418734248,11478.45192793555
base,0,352256,5,10449.210694419206,5375.566694215493,5073.6440002037125,0.831351697610031,11478.45192793555
base,0,352256,6,10056.812430944661,5375.566694215493,4681.245736729168,0.7670545253082904,11478.45192793555
base,0,352256,7,10002.10108231618,5375.566694215493,4626.534388100687,0.7580896920328387,11478.45192793555
base,0,352256,8,10449.535368693916,5375.566694215493,5073.968674478423,0.8314048977378761,11478.45192793555
base,0,352256,9,10428.398028585525,5375.566694215493,5052.831334370032,0.827941398213399,11478.45192793555
base,0,376832,0,9476.733075607191,5375.566694215493,4101.166381391698,0.6720045066650875,11478.45192793555
base,0,376832,1,2771.0082704003134,5375.566694215493,-2604.5584238151796,-0.4267749308142859,11478.45192793555
base,0,376832,2,10024.056615032554,5375.566694215493,4648.489920817061,0.7616872580810198,11478.45192793555
base,0,376832,3,10204.954517344479,5375.566694215493,4829.3878231289855,0.791328631850065,11478.45192793555
base,0,376832,4,9765.767086991777,5375.566694215493,4390.2003927762835,0.7193647306031414,11478.45192793555
base,0,376832,5,7696.468921828797,5375.566694215493,2320.9022276133037,0.38029589912807277,11478.45192793555
base,0,376832,6,9756.004410288811,5375.566694215493,4380.437716073318,0.7177650484319245,11478.45192793555
base,0,376832,7,10243.28135663307,5375.566694215493,4867.714662417577,0.797608749829434,11478.45192793555
base,0,376832,8,10360.845540615408,5375.566694215493,4985.278846399915,0.8168724553491612,11478.45192793555
base,0,376832,9,7759.380820660563,5375.566694215493,2383.8141264450696,0.39060444933213895,11478.45192793555
base,0,401408,0,-237.9959509499271,5375.566694215493,-5613.56264516542,-0.9198211057991356,11478.45192793555
base,0,401408,1,9652.718867071979,5375.566694215493,4277.152172856486,0.7008409970620529,11478.45192793555
base,0,401408,2,9521.758145420166,5375.566694215493,4146.191451204673,0.6793821760921351,11478.45192793555
base,0,401408,3,1165.8760300741824,5375.566694215493,-4209.690664141311,-0.6897869617786466,11478.45192793555
base,0,401408,4,2401.0314809008387,5375.566694215493,-2974.5352133146544,-0.4873981893665903,11478.45192793555
base,0,401408,5,9916.554739114748,5375.566694215493,4540.988044899255,0.7440723314056475,11478.45192793555
