method,seed,step,mean_return,std_return,min_return,max_return,n_eval_episodes,J0,improvement,norm_improvement,J_ref,energy_mean,knn_mean
lyapunov,0,450560,9025.321882125094,1804.893662712832,5298.930193398246,10529.730258914136,10,6119.603139510832,2905.718742614262,0.5415176079533044,11485.483582540317,0.11924133449792862,1.0224738984604678
lyapunov,0,475136,8803.029011947754,1252.9695691933464,7138.315303606793,10505.444635327665,10,6119.603139510832,2683.425872436922,0.5000905071268816,11485.483582540317,0.11881861090660095,2.2460727463553347
lyapunov,0,499712,9130.235615655187,1650.277209967004,5390.123677141991,10723.536105909827,10,6119.603139510832,3010.6324761443548,0.5610696152379298,11485.483582540317,0.11683306097984314,1.7886999482909838
lyapunov,1,0,5322.215168639341,3775.693276132254,-288.5576321950977,10480.127653120111,10,5322.215168639341,0.0,0.0,11485.483582540317,0.04627791792154312,3.255280520355204
lyapunov,1,32768,8945.52657366468,3280.1370388080236,-282.736160001575,10842.91150320351,10,5322.215168639341,3623.311405025339,0.5878879777919835,11485.483582540317,0.06269730627536774,0.7988666165461142
lyapunov,1,57344,9300.702212347713,3195.6297478327474,-259.9678865248405,10708.04260974703,10,5322.215168639341,3978.487043708372,0.6455157841397198,11485.483582540317,0.06925877183675766,3.4839640796720976
lyapunov,1,81920,6150.198281521925,5132.104094044398,-305.45543043559553,10738.842612967019,10,5322.215168639341,827.9831128825845,0.13434156313568366,11485.483582540317,0.07303707301616669,5.543900392073392
lyapunov,1,106496,8504.422179990532,3095.9044942094833,-309.2209060916424,10377.382309830507,10,5322.215168639341,3182.207011351191,0.5163180957132334,11485.483582540317,0.07140865921974182,3.3446118271599214
lyapunov,1,131072,5837.794651554074,3090.4904055334055,-254.91416865878946,10559.021433399881,10,5322.215168639341,515.5794829147335,0.08365358251609056,11485.483582540317,0.07114328444004059,5.923436438256501
lyapunov,1,155648,8161.8642330411385,2665.1145259907953,2874.374722530052,10951.430940343464,10,5322.215168639341,2839.6490644017977,0.46073752970686116,11485.483582540317,0.068605437874794,3.5242436930030587
lyapunov,1,180224,7365.475683323275,3868.2630805722,-64.32269015405852,10978.484155327877,10,5322.215168639341,2043.2605146839342,0.3315222341678206,11485.483582540317,0.07809015363454819,7.677438713695606
lyapunov,1,204800,7598.996992173915,4002.2079783474624,-263.30327948515395,10618.176672237923,10,5322.215168639341,2276.781823534574,0.36941143404203897,11485.483582540317,0.08435249328613281,6.0656935945183035
lyapunov,1,229376,8313.840318945327,3358.442473387559,-243.41185449046066,10964.58247433504,10,5322.215168639341,2991.6251503059866,0.48539588882306567,11485.483582540317,0.08397918939590454,0.9644837710191806
lyapunov,1,253952,6896.430069720884,4238.213726788684,-242.92275506232002,11036.943440409417,10,5322.215168639341,1574.2149010815428,0.25541884518213626,11485.483582540317,0.07413362711668015,4.600792656378944
lyapunov,1,278528,7487.2248045383485,3727.5039525321877,-227.58086227042688,10692.203197300523,10,5322.215168639341,2165.0096358990077,0.3512762206923601,11485.483582540317,0.08235377818346024,0.853812939179937
lyapunov,1,303104,6776.644858169269,4749.276681071554,-263.6044372566692,10726.77344663482,10,5322.215168639341,1454.4296895299285,0.23598350609127194,11485.483582540317,0.08223512023687363,3.5926411072214437
lyapunov,1,327680,6521.063527196444,4010.302993775728,-214.42820476651988,10666.770724881872,10,5322.215168639341,1198.848358557103,0.19451503290991498,11485.483582540317,0.08994926512241364,3.200581007513404
lyapunov,1,352256,8014.512817711709,4131.459002620904,-206.36137965411282,10668.824302381592,10,5322.215168639341,2692.2976490723686,0.4368295306696658,11485.483582540317,0.09250679612159729,0.8350921699086824
lyapunov,1,376832,8712.143108136419,3318.410548793475,842.2118162192551,10510.726882772498,10,5322.215168639341,3389.927939497078,0.5500211432137575,11485.483582540317,0.09648888558149338,3.4888810505777594
lyapunov,1,401408,7511.039545025019,4217.217181502214,-260.1254966693373,10373.387804205555,10,5322.215168639341,2188.824376385678,0.35514019981569234,11485.483582540317,0.09591568261384964,0.7744521603335937
lyapunov,1,425984,6953.598670055419,4378.42422042491,-247.09613173497408,10551.024165704868,10,5322.215168639341,1631.3835014160777,0.26469454055771297,11485.483582540317,0.10102316737174988,0.8211805567165217
lyapunov,1,450560,7996.614006212595,4130.821917308155,-235.3512790489962,10547.294628662614,10,5322.215168639341,2674.3988375732542,0.4339254203349868,11485.483582540317,0.10785318911075592,4.987126570514838
lyapunov,1,475136,9200.489305786814,3168.8313105132693,-222.81783730363185,10654.409928355708,10,5322.215168639341,3878.274137147473,0.629256082336272,11485.483582540317,0.10907120257616043,0.847172972937425
lyapunov,1,499712,6538.626097539736,4794.755739286193,-234.81364686823193,10512.98665800072,10,5322.215168639341,1216.4109289003954,0.1973645875878893,11485.483582540317,0.11230361461639404,0.8303935616284609
lyapunov,2,0,7087.178679132203,3549.8261353384587,-91.84353182466336,10871.319710854805,10,7087.178679132203,0.0,0.0,11485.483582540317,0.048657771199941635,3.005520691398283
lyapunov,2,32768,6283.043732214904,4930.838265535865,-103.99852083020775,10889.675257709163,10,7087.178679132203,-804.1349469172992,-0.1828283769302512,11485.483582540317,0.10445351898670197,1.8671674138824146
lyapunov,2,57344,5277.390659555748,4397.808248254661,-88.69373023140821,10406.329680776505,10,7087.178679132203,-1809.7880195764546,-0.4114739789327998,11485.483582540317,0.1259649246931076,2.72245984185338
lyapunov,2,81920,5230.416666662263,4582.713670907236,-102.21245449132604,10585.38405232144,10,7087.178679132203,-1856.7620124699397,-0.4221540008763459,11485.483582540317,0.10155422240495682,3.6277792998452987
lyapunov,2,106496,4255.937240437548,4595.353485909429,-101.77325209676728,10385.498516715785,10,7087.178679132203,-2831.241438694655,-0.6437119527245824,11485.483582540317,0.10920745134353638,0.9600418534308671
lyapunov,2,131072,8234.447707660129,3244.7222089995503,-110.9082915176095,10124.43687887698,10,7087.178679132203,1147.269028527926,0.2608434507071345,11485.483582540317,0.11304062604904175,3.7560600828379394
lyapunov,2,155648,7072.9560255534525,4220.18819021004,-118.07319453627773,10452.561009437,10,7087.178679132203,-14.222653578750396,-0.0032336670348833757,11485.483582540317,0.13430611789226532,0.8946201580723128
lyapunov,2,180224,5150.398612191996,4877.595347046632,-130.27097406730925,10130.57732423474,10,7087.178679132203,-1936.7800669402068,-0.44034693115502455,11485.483582540317,0.14422307908535004,3.6285470912555855
lyapunov,2,204800,4489.671747358737,4675.096795655207,-103.42942647649906,10043.025758052192,10,7087.178679132203,-2597.506931773466,-0.5905700009951939,11485.483582540317,0.15881232917308807,0.9352468786080678
lyapunov,2,229376,6887.493302785988,4561.69141186035,-94.53954837755445,10138.956343451768,10,7087.178679132203,-199.68537634621498,-0.045400530587609844,11485.483582540317,0.1630338728427887,0.9241704960405825
lyapunov,2,253952,6314.334326366052,4615.455332929227,-122.17259067830042,10176.44613625459,10,7087.178679132203,-772.8443527661511,-0.17571413750592485,11485.483582540317,0.1686846762895584,0.9939310057391721
lyapunov,2,278528,8107.168087287025,3368.48705028637,74.33475782847336,10250.669781839411,10,7087.178679132203,1019.9894081548218,0.23190511579416823,11485.483582540317,0.17637956142425537,2.2361641348044077
lyapunov,2,303104,8205.673356787587,3034.1608596811598,1383.5391236224464,10604.713671797304,10,7087.178679132203,1118.4946776553843,0.2543013051538094,11485.483582540317,0.18306756019592285,6.468170609509946
lyapunov,2,327680,9058.391593078788,2998.4893921426765,889.6874759215009,10712.063580706634,10,7087.178679132203,1971.212913946585,0.4481755941865185,11485.483582540317,0.17147433757781982,0.7738199001590412
lyapunov,2,352256,7865.928979552906,4153.330223458231,-44.21963458571485,11117.62435522798,10,7087.178679132203,778.7503004207028,0.17705691564043585,11485.483582540317,0.17813482880592346,4.110086707147955
lyapunov,2,376832,7684.921509359832,3722.524081425339,-109.05721911561446,10797.859972021182,10,7087.178679132203,597.7428302276294,0.13590299972804373,11485.483582540317,0.1839795708656311,8.280009027929108
lyapunov,2,401408,6897.329797841847,4176.8120165623595,-100.32131726912358,10455.915626555123,10,7087.178679132203,-189.84888129035608,-0.04316410194756707,11485.483582540317,0.1843702644109726,2.497325882964333
lyapunov,2,425984,6739.748428206224,3953.7362124101387,-149.50663131232943,10797.697117861171,10,7087.178679132203,-347.4302509259787,-0.0789918521969165,11485.483582540317,0.19454872608184814,4.785429736558597
lyapunov,2,450560,4567.596939705949,4458.98169632242,-153.17625745888168,11004.654772848158,10,7087.178679132203,-2519.581739426254,-0.5728529045135213,11485.483582540317,0.19036051630973816,2.306240726671616
lyapunov,2,475136,6308.924335766518,4334.855381682491,-155.1270389436524,10909.113148230965,10,7087.178679132203,-778.2543433656847,-0.17694415468688734,11485.483582540317,0.1865336000919342,2.7344132350087165
lyapunov,2,499712,7665.479938708918,3604.230801370682,-150.35546554219266,10914.483727018813,10,7087.178679132203,578.301259576715,0.13148275805006696,11485.483582540317,0.189405620098114,0.6821920496195555
twostep,0,0,4729.273253550446,3202.5498504774337,1274.703900262295,11077.591973783305,10,4729.273253550446,0.0,0.0,11485.483582540317,0.09251846373081207,3.9127660257200403
twostep,0,32768,5729.7900197294275,4331.535336533326,-363.44503469779266,10674.287669730804,10,4729.273253550446,1000.5167661789819,0.14808845748005034,11485.483582540317,0.16848969459533691,5.865493388363718
twostep,0,57344,8591.661728390307,3301.039545565612,93.99981967968552,10867.957377872972,10,4729.273253550446,3862.3884748398614,0.5716797266798015,11485.483582540317,0.21941450238227844,4.803735228417318
twostep,0,81920,7438.735023518881,3711.6520902727625,-272.1376815042161,10688.608459696206,10,4729.273253550446,2709.461769968435,0.4010327739415562,11485.483582540317,0.18548986315727234,4.2431342552016185
twostep,0,106496,8319.373426418932,3348.614290307432,1052.4668428437542,10677.622864480798,10,4729.273253550446,3590.100172868486,0.5313777987243136,11485.483582540317,0.19113688170909882,3.910338833154241
